Name,Location,Latitude,Longitude
CWDT,Chute Des Passes,49.9,-71.25
CWDU,Cop Upper,51.083,-114.216
CWDV,"Upsala, Ont.",49.033,-90.466
CWDZ,Drumheller East,51.433,-112.666
CWEA,Pinawa Automatic Weather Reporting System,50.183,-96.066
CWEB,"Estevan Point, B. C.",49.383,-126.55
CWEC,Welcome Island,48.366,-89.116
CWEE,Chamouchouane Automatic Weather Reporting System,49.283,-73.35
CWEF,Saint Paul Island Meteorological Aeronautical Presentation System,47.233,-60.133
CWEG,Alberta Weather Centre,53.5,-113.5
CWEH,"Eastend Cypress, Sask",49.433,-108.983
CWEI,"Melita, Man",49.283,-100.983
CWEJ,Bow Drill Iii,47.2,-55.1
CWEK,Grey Islet Meteorological Aeronautical Presentation System,54.583,-130.7
CWEL,Entrance Island Automatic Weather Reporting System,49.216,-123.8
CWEM,Egg Island Light,51.25,-127.833
CWEO,"Lac Eon, Que",51.866,-63.283
CWEP,"East Point, P. E. I",46.45,-61.966
CWEQ,"Swan River, Man.",52.116,-101.233
CWER,Ile D'Orleans Automated Reporting Station,47.0,-70.816
CWES,Cape Scott Light,50.783,-128.433
CWET,Egbert Meteorological Aeronautical Presentation System,44.233,-79.783
CWEU,"Eureka, N. W. T.",79.983,-85.933
CWEV,Ellice River Automated Reporting Station,67.7,-104.466
CWEW,L'Assomption,45.816,-73.433
CWEZ,Saturna Island Meteorological Aeronautical Presentation System,48.783,-123.05
CWFD,"Cape Dyer, N. W. T.",66.583,-61.616
CWFE,Elk Island National Park,53.683,-112.866
CWFF,Melfort Automatic Weather Reporting System,52.816,-104.6
CWFG,Sartine Island Meteorological Aeronautical Presentation System,50.816,-128.9
CWFH,St. Shotts,46.716,-53.483
CWFJ,Cardston Automated Reporting Station,49.2,-113.283
CWFL,Fort Reliance,62.716,-109.166
CWFM,Chatham Point Lighthouse,50.333,-125.433
CWFN,Cree Lake Meteorological Aeronautical Presentation System,57.35,-107.133
CWFP,Nain,56.55,-61.7
CWFQ,Frelighsburg,45.05,-72.833
CWFR,"Horsefly River, B. C.",52.283,-121.05
CWFU,Little Macatina,52.233,-61.316
CWFW,Baie Comeau,49.266,-68.15
CWFX,Colville Lake,67.033,-126.083
CWFY,Conne River,48.166,-55.483
CWFZ,"Fort Reliance, N. W. T.",62.716,-109.183
CWGB,Ballenas Island Automatic Weather Reporting System,49.35,-124.166
CWGD,Goderich Automatic Weather Reporting System,43.766,-81.716
CWGF,Garden River Automatic Weather Reporting System,58.683,-113.883
CWGH,Grenadier Island,44.416,-75.85
CWGJ,Montreal River Radar Site,47.233,-84.516
CWGL,Lagoon City,44.533,-79.216
CWGM,Waterton Park Gate,59.133,-113.8
CWGN,"Gretna, Man.",49.033,-97.566
CWGP,Pemberton Automatic Weather Reporting System,50.3,-122.733
CWGQ,Roquemaure,48.633,-79.45
CWGR,Iles-De-La-Madelein,47.416,-61.8
CWGT,Sisters Island Automatic Weather Reporting System,49.483,-124.433
CWGU,Gypsumville,51.666,-98.75
CWGV,Carp Radar Site,45.316,-76.0
CWGW,Sparwood Automatic Weather Reporting System,49.75,-114.9
CWGX,"Gillam, Man.",56.366,-94.7
CWGY,Esther 1,51.666,-110.2
CWGZ,Grise Fiord Airport,76.416,-82.9
CWHA,Highvale,53.45,-114.466
CWHC,Vancouver Automatic Weather Reporting System,49.3,-123.116
CWHE,Ellerslie,53.416,-113.2
CWHH,Hunters Point Mar,53.033,-100.933
CWHI,Three Hills,51.7,-113.216
CWHL,Holland Rock Automatic Weather Reporting System,54.166,-130.366
CWHM,Varennes,45.716,-73.383
CWHN,Jimmy Lake,54.916,-109.95
CWHO,Hopedale Meteorological Aeronautical Presentation System,55.45,-60.233
CWHP,Heath Point Meteorological Aeronautical Presentation System,49.083,-61.7
CWHQ,"Deschambaults , Que.",46.683,-71.95
CWHS,Bernard Harbour,68.783,-114.833
CWHT,Haines Junction,60.766,-137.583
CWHU,Star Brook,48.583,-57.233
CWHV,Beauceville,46.2,-70.783
CWHW,"Comfort Cove, Nfld.",49.266,-54.883
CWHY,Mont-Orford,45.316,-72.25
CWIA,"Saint Henri , Que.",48.65,-71.85
CWIC,Isachsen Meteorological Aeronautical Presentation System,78.783,-103.55
CWID,Fort Providence,61.316,-117.6
CWIE,Indian River,64.383,-115.016
CWIF,Quatsino Light Station,50.433,-128.033
CWIG,"Ile Aux Grues, Que.",47.066,-70.533
CWII,Victoria Beach,50.7,-96.566
CWIJ,"Lupin, N. W. T.",65.766,-111.233
CWIK,"Broadview, Sask.",50.383,-102.683
CWIL,"Hat Island, N. W. T.",68.316,-100.083
CWIM,Upsala Radar Site,49.033,-90.416
CWIO,Iskut River,56.733,-131.666
CWIP,"Pointe Noire , Que.",50.166,-66.433
CWIQ,Primrose Lake,54.75,-110.05
CWIR,Victoria Marine,48.366,-123.75
CWIS,"Charlevoix CS , Que.",47.283,-70.633
CWIT,Saint Clothilde Automated Reporting Station,45.166,-73.683
CWIU,"Saint Gedeon, Que.",48.483,-71.783
CWIW,Watrous East Automated Reporting Station,51.666,-105.4
CWIX,Mistook Automated Reporting Station,48.766,-71.716
CWIY,St Leonard Automatic Weather Reporting System,47.15,-67.816
CWIZ,L'Acadie,45.3,-73.35
CWJA,"Jasper, Alta.",52.883,-118.066
CWJB,"Ste Foy CS , Que.",47.3,-71.266
CWJC,Ennadai Lake Meteorological Aeronautical Presentation System,61.133,-100.9
CWJD,"Grand Rapids, Man.",53.183,-99.266
CWJG,Ivory Island Light,52.266,-128.416
CWJH,Southend Automatic Weather Reporting System,56.333,-103.283
CWJI,Assiniboia Airport Automated Reporting Station,49.733,-105.933
CWJM,Upper Rideau Lake,44.7,-76.3
CWJN,Herschel Island Automatic Weather Reporting System,69.566,-138.916
CWJO,Jonquiere Automated Reporting Station,48.416,-71.216
CWJP,Porter Lake,61.666,-108.416
CWJR,Creston Automatic Weather Reporting System,49.083,-116.5
CWJT,St Jovite Automatic Weather Reporting System,46.066,-74.533
CWJU,"Langara, B. C.",54.25,-133.05
CWJV,"Vernon, B. C.",50.233,-119.3
CWJW,Jasper Warden Automated Reporting Station,52.933,-118.316
CWJX,Leader Airport Automatic Weather Reporting System,50.9,-109.5
CWJY,Yathkyed Lake Meteorological Aeronautical Presentation System,62.7,-98.3
CWJZ,Dubawnt Lake Meteorological Aeronautical Presentation System,63.233,-101.766
CWKD,"Bonnard 1, Que.",50.733,-71.016
CWKE,Pelly Bay,68.433,-89.716
CWKG,"Kejimkujik 1, N. S.",44.433,-65.2
CWKH,Malahat Automatic Weather Reporting System,48.583,-123.583
CWKI,Kitimat,54.05,-128.683
CWKK,Katatota Island,49.716,-88.333
CWKM,"Komakuk Beach, Y. T.",69.616,-140.2
CWKO,"Rockglen, Sask.",49.166,-105.983
CWKR,King Radar Site,43.966,-79.566
CWKS,"Sikanni Chief, B. C.",57.25,-122.716
CWKU,Whiskey Automated Reporting Station,81.033,-76.95
CWKV,Hope Slide,49.283,-121.233
CWKW,Cape Kakkiviak,59.983,-64.166
CWKX,Dease Lake Coastal Station,58.416,-130.0
CWLA,"Langara, B. C.",54.25,-133.133
CWLB,"Lac La Biche, Alta.",54.766,-112.016
CWLC,"Lucy Island, B. C.",54.3,-130.6
CWLE,Lucky Lake Automatic Weather Reporting System,50.95,-107.15
CWLF,Lansdowne House,52.233,-87.883
CWLG,Little Chicago,67.2,-130.216
CWLI,Liverpool Bay,69.6,-130.9
CWLM,Victoria Automatic Weather Reporting System,48.416,-123.316
CWLO,Shilo,49.783,-99.633
CWLP,Herbert Island Meteorological Aeronautical Presentation System,50.933,-127.633
CWLQ,Nipissing,46.316,-79.466
CWLS,"Mount Forest, Ont.",43.983,-80.75
CWLT,"Alert, N. W. T.",82.5,-62.333
CWLU,"Lauzon, Que.",46.833,-71.166
CWLV,Waskesiu Lake Automated Reporting Station,53.916,-106.066
CWLX,"Longstaff Bluff, N. W. T.",68.883,-75.133
CWLY,"Lytton, B. C.",50.233,-121.583
CWLZ,Candle Lake,53.733,-105.266
CWMA,Masset A,54.016,-132.116
CWMD,Mould Bay Camp,76.233,-119.316
CWME,Cathedral Point Meteorological Aeronautical Presentation System,52.183,-127.466
CWMH,"Mary's Harbour, Nfld.",52.3,-55.833
CWMI,"Miscou Island, N. B.",48.016,-64.5
CWMJ,Maniwaki,46.283,-76.0
CWMM,P. Meadows Coastal Station Automatic Weather Reporting System,49.2,-122.683
CWMN,Mcgill Radar Site,45.416,-73.933
CWMP,Powder Lake,61.05,-109.333
CWMQ,Maplecreek Automatic Weather Reporting System,49.9,-109.466
CWMR,Merry Island,49.466,-123.916
CWMS,"Mcinnes Island, B. C.",52.266,-128.716
CWMT,Lac La Martre,63.15,-117.266
CWMU,Rampart River Automatic Weather Reporting System,65.95,-130.466
CWMV,St Charles Creek,64.75,-124.216
CWMW,"Maniwaki, Que.",46.383,-75.966
CWMX,Mildred Lake,57.533,-111.566
CWMZ,Western Island Meteorological Aeronautical Presentation System,45.033,-80.366
CWNB,S. E. Shoal Meteorological Aeronautical Presentation System,41.833,-82.466
CWNC,"Cobourg, Ont.",43.95,-78.166
CWND,Pelly Island Automatic Weather Reporting System,69.633,-135.433
CWNE,"North Point, Prince Edward Island",47.083,-64.0
CWNH,"Riviere Du Loup, Que.",47.8,-69.55
CWNI,Nipterk Base,69.616,-135.333
CWNJ,"Green Island Light Station - Heliport, B. C.",54.566,-130.7
CWNK,Carman U Of M,49.5,-98.033
CWNL,Great Duck Island,45.633,-82.966
CWNM,Nelson Automatic Weather Reporting System,49.5,-117.3
CWNO,Satah River Automatic Weather Reporting System,66.866,-134.2
CWNP,Nakusp Automatic Weather Reporting System,50.266,-117.816
CWNQ,Nicolet Automatic Weather Reporting System,46.216,-72.65
CWNR,Nakiska Ridgetop,50.95,-115.183
CWNT,Turtle Mountain,49.583,-114.416
CWNW,Haldane River Automatic Weather Reporting System,67.066,-121.1
CWNX,Nechako River,53.683,-124.833
CWNZ,"Nagagami, Ont.",49.75,-84.166
CWOA,"Camsell River, N. W. T.",65.616,-118.116
CWOB,Brevoort Island,63.333,-64.15
CWOC,New Carlisle1,48.016,-65.333
CWOD,Normandin,48.833,-72.55
CWOE,Onefour Automatic Weather Reporting System,49.116,-110.466
CWOH,Ste Agathe Des Mont,46.05,-74.283
CWOI,Ivvavik Park Automatic Weather Reporting System,69.15,-140.15
CWOK,Elbow Marine Aviation Reporting Station,51.133,-106.583
CWOL,Sable Island Man,43.916,-59.916
CWON,Dawson Automatic Weather Reporting System,64.05,-139.15
CWOU,Primrose Lake 2,54.783,-110.066
CWOY,Wynyard Marine Aviation Reporting Station,51.766,-104.216
CWPA,Henderickson Automatic Weather Reporting System,53.783,-118.433
CWPB,Beausoleil Island Automated Reporting Station,44.85,-79.866
CWPC,Port Colborne Automated Reporting Station,42.866,-79.25
CWPD,Parc Des Laurentid,47.566,-71.233
CWPE,"Point Lepreau, N. B.",45.066,-66.466
CWPF,"Esquimalt Harbour, B. C.",48.433,-123.433
CWPH,"Inukjuak, Que",58.45,-78.116
CWPI,Pine Island Meteorological Aeronautical Presentation System,50.983,-127.733
CWPJ,Point Escuminac Meteorological Aeronautical Presentation System,47.066,-64.8
CWPK,"Parent, Que.",47.916,-74.616
CWPL,"Pickle Lake, Ont.",51.45,-90.2
CWPO,"Pilot Mound, Man.",49.2,-98.9
CWPQ,Montreal-Est,45.633,-70.55
CWPR,Princeton Automatic Weather Reporting System,50.6,-120.516
CWPS,Long Point Meteorological Aeronautical Presentation System,42.566,-80.05
CWPU,"Puntzi Mountain, B. C.",52.116,-124.133
CWPX,"Cape Peel West, N. W. T.",69.033,-107.816
CWPY,Fort Chipewyan Automated Reporting Station,58.766,-111.133
CWPZ,"Burns Lake CS , B. C.",54.383,-125.95
CWQC,"Port Alberni, B. C.",49.25,-124.833
CWQE,Toronto Headland,43.616,-79.35
CWQF,Rabbit Kettle Automated Reporting Station,61.966,-127.216
CWQG,Valcartier,46.9,-71.5
CWQH,Lennoxville,45.366,-71.816
CWQJ,Sedco 710,46.5,-48.5
CWQK,Race Rocks Automatic Weather Reporting System,48.3,-123.533
CWQL,Lethbridge Automated Reporting Station,49.7,-112.783
CWQM,Cap Rouge,48.383,-70.533
CWQO,"Ile Bicquette, Que.",48.415,-68.893
CWQP,"Point Petre , Ont.",43.833,-77.15
CWQQ,Lacombe Cda,52.45,-113.75
CWQR,"Ile Aux Perroquets, Que.",50.223,-64.208
CWQS,"Kindakun Rocks, B. C.",53.316,-132.75
CWQV,Puinte Claveau,48.266,-70.116
CWQW,Cape Whittle,50.166,-60.066
CWQY,Hanbury River Automated Reporting Station,63.583,-105.15
CWQZ,Quesnel Automatic Weather Reporting System,53.033,-122.533
CWRA,"Cape Race, Nfld",46.65,-53.066
CWRD,Red Earth,56.533,-115.266
CWRF,Pelly Bay 1,69.433,-89.733
CWRH,"Resolution Island, N. W. T.",61.583,-64.65
CWRJ,"Rosetown East, Sask",51.566,-107.916
CWRK,Bancroft Automatic Weather Reporting System,45.066,-77.866
CWRM,Rocky House Marine Aviation Reporting Station,52.433,-114.933
CWRN,Hart Island Meteorological Aeronautical Presentation System,45.35,-60.983
CWRO,Rose Spit Meteorological Aeronautical Presentation System,54.166,-131.666
CWRP,Nicholson Peninsul,69.933,-128.966
CWRQ,Trois Rivieres,46.383,-72.616
CWRT,Crowsnest,49.633,-114.483
CWRU,Solander Island Meteorological Aeronautical Presentation System,50.116,-127.933
CWRV,Camrose,53.033,-112.816
CWRW,Fourchu Head Meteorological Aeronautical Presentation System,45.716,-60.233
CWRX,"Rowley Island, N. W. T.",69.066,-79.066
CWRY,Milk River,49.133,-112.05
CWRZ,"Cap D'Espoir , Que.",48.416,-64.316
CWSA,"Sable Island, N. S.",43.933,-60.016
CWSD,Summerside Automatic Weather Reporting System,46.433,-63.85
CWSE,Edmonton Stony Plain Alta.,53.533,-114.1
CWSF,Cap Madeleine Meteorological Aeronautical Presentation System,49.25,-65.333
CWSG,"Cap Chat CS, Que.",49.116,-66.65
CWSH,Sousa Crk Avt,58.583,-118.5
CWSI,"Simcoe, Ont.",42.85,-80.266
CWSK,"Squamish Airport, B. C",49.783,-123.166
CWSL,Salmon Arm Automatic Weather Reporting System,50.7,-119.283
CWSO,Exeter Radar Site,43.366,-81.383
CWSP,Sheringham Automatic Weather Reporting System,48.383,-123.916
CWSQ,Aulvik National Park,74.133,-119.983
CWSR,"Spiritwood West, Sask",53.366,-107.55
CWSS,"St. Stephen, N. B.",45.216,-67.25
CWST,La Pocatiere,47.35,-70.033
CWSV,Blue River Marine Aviation Reporting Station,52.1,-119.3
CWSW,Sparwood / Elk Valley,49.75,-114.883
CWSY,"Sachs Harbour, N. W. T.",72.0,-125.266
CWSZ,Fisher Branch Marine Aviation Reporting Station,51.083,-97.55
CWTA,Mc Tavish Automated Reporting Station,45.5,-73.583
CWTB,"Border, Que.",55.333,-63.216
CWTC,Ethelda Bay,53.05,-129.683
CWTD,Robertson Lake Automated Reporting Station,65.1,-102.433
CWTE,Trout Lake,60.433,-121.233
CWTF,Beartooth Island,59.216,-109.7
CWTG,"Pointe-Des-Monts , Que.",49.316,-67.383
CWTH,Tetsa River,58.65,-124.233
CWTI,"Triple Island Light, B. C.",54.3,-130.883
CWTN,Cap Tourmente,47.066,-70.8
CWTO,Toronto Aes Hq,43.783,-79.466
CWTU,"Tukialik Bay, Nfld.",54.716,-58.35
CWTY,Trois Rivieres,46.35,-72.516
CWTZ,Toronto Island,43.633,-79.416
CWUL,Quebec Fcst Office,45.5,-73.683
CWUM,"Faro, Y. T.",62.233,-133.35
CWUP,"Cape Hooper, N. W. T.",68.466,-66.8
CWUR,"Truro, N. S.",45.366,-63.266
CWUS,Summerland Automatic Weather Reporting System,49.566,-119.65
CWUT,Shoal Lake Airport Automated Reporting Station,50.45,-100.6
CWUU,Mackar Inlet,68.3,-85.666
CWUW,"Dewar Lakes, N. W. T.",68.65,-71.166
CWUX,"La Baie , Que.",48.3,-70.933
CWUY,Rouyn,48.25,-79.033
CWVA,"Bonavista, Nfld.",48.666,-53.116
CWVB,Bonilla Island Light,53.5,-130.633
CWVC,Swift Current Automatic Weather Reporting System,50.266,-107.733
CWVD,Broughton Island,67.533,-63.783
CWVE,Valleyfield,45.233,-74.1
CWVF,"Sand Heads CS, B. C.",49.1,-123.3
CWVH,"Storm Hills , N. W. T.",68.9,-133.933
CWVI,Vegreville Automatic Weather Reporting System,53.616,-112.033
CWVK,"Vernon, B. C.",50.233,-119.283
CWVN,"Val Marie Southeast, Sask",49.066,-107.583
CWVO,Vauxhall Cda,50.05,-112.133
CWVP,Cypress Hills Park,49.65,-109.516
CWVQ,Ste Anne De Bell 1,45.433,-73.933
CWVT,"Buffalo Narrows, Sask.",55.833,-108.433
CWVU,"Brier Island, N. S.",44.285,-66.346
CWVV,Vic. Hartland Automatic Weather Reporting System,48.533,-123.466
CWVY,Villeroy Radar Site,46.433,-71.933
CWVZ,"Ile Charron, Que.",45.583,-73.5
CWWA,W Vancouver Automatic Weather Reporting System,49.35,-123.183
CWWB,Burlington Piers,43.3,-79.8
CWWC,Collins Bay Automatic Weather Reporting System,58.183,-103.7
CWWE,"Western Head, N. S.",43.983,-64.666
CWWF,Weyburn Automatic Weather Reporting System,49.7,-103.8
CWWK,White Rock Automatic Weather Reporting System,49.016,-122.783
CWWL,Bonilla Island Meteorological Aeronautical Presentation System,53.5,-130.633
CWWM,Grant Automatic Weather Reporting System,82.5,-65.083
CWWN,Peawanuck Meteorological Aeronautical Presentation System,54.983,-85.433
CWWO,Willow Creek,53.383,-118.333
CWWP,"Wasagaming, Man.",50.65,-99.933
CWWQ,Muncho Lake,58.916,-125.766
CWWS,George Island Meteorological Aeronautical Presentation System,52.8,-97.616
CWWU,Ingenika Point,56.8,-124.9
CWWV,Killinek Meteorological Aeronautical Presentation System,60.416,-64.85
CWWX,Cove Island Meteorological Aeronautical Presentation System,45.333,-81.733
CWWZ,"Port Weller, Ont.",43.25,-79.216
CWXA,Bow Valley,51.083,-115.066
CWXC,"Onatchiway, Que.",48.883,-71.033
CWXH,"Holberg, B. C.",50.633,-128.116
CWXI,Ferolle Point Meteorological Aeronautical Presentation System,51.016,-57.1
CWXJ,Bull Arm Automatic Weather Reporting System,47.816,-53.9
CWXL,Bow Island,49.633,-111.45
CWXM,Helmcken Island Meteorological Aeronautical Presentation System,50.4,-125.866
CWXO,Rowan Gorilla Iii,43.883,-60.55
CWXP,Pangnirtung,66.15,-65.733
CWXR,"Croker River, N. W. T.",69.266,-119.216
CWXV,Back River Meteorological Aeronautical Presentation System,66.083,-96.5
CWXW,Alexis River Meteorological Aeronautical Presentation System,52.65,-56.866
CWYB,N. Bay Weather Office,46.316,-79.45
CWYE,Outlook Pfra,51.483,-107.05
CWYG,Charlottetown,46.233,-63.133
CWYH,Rae Lakes,64.116,-117.366
CWYJ,Victoria University,48.45,-123.3
CWYK,"Cape Kiglapait, Nfld.",57.133,-61.483
CWYL,Yoho Park Automatic Weather Reporting System,51.45,-116.333
CWYM,Cape Mercy,64.95,-63.583
CWYO,"Wynyard, Sask.",51.766,-104.2
CWYY,Osoyoos Automatic Weather Reporting System,49.033,-119.433
CWZA,Agassiz Automated Reporting Station,49.25,-121.766
CWZB,"Port-Aux-Basques, Nfld.",47.566,-59.166
CWZD,Scudder Point Meteorological Aeronautical Presentation System,52.45,-131.233
CWZG,Banff Marine Aviation Reporting Station,51.2,-115.55
CWZL,Cumshewa Island Meteorological Aeronautical Presentation System,53.033,-131.6
CWZM,Boat Bluff Light,52.65,-128.516
CWZN,Sagona Island Meteorological Aeronautical Presentation System,47.366,-55.8
CWZO,"Kelp Reefs, B. C.",48.55,-123.233
CWZQ,"Grand Etang, N. S.",46.55,-61.05
CWZS,"Amqui , Que.",48.466,-67.433
CWZT,Dauphin Coastal Station,51.1,-100.05
CWZV,Virginia Falls,61.633,-125.8
CWZW,Teslin Marine Aviation Reporting Station,60.166,-132.766
CWZZ,Saglek Bay,58.333,-62.583
CXBK,"Bratts Lake, Sask.",50.2,-104.7
CXBO,"Beauport CS, Que.",46.833,-71.2
CXBP,"Confederation Bridge, Prince Edward Island",46.233,-63.733
CXCH,"Cheticamp, N. S.",46.65,-60.95
CXCK,"Carmacks CS, Y. T.",62.116,-136.183
CXDE,"Deline , N. W. T.",65.216,-123.433
CXDI,"Delhi CS, Ont.",42.866,-80.55
CXDW,"Deerwood RCS , Man.",49.4,-98.316
CXEC,"Edmonton Municipal CR10 , Alta.",53.566,-113.516
CXEG,"Edmonton International CS , Alta.",53.3,-113.6
CXGH,"Gimli Harbour CS, Man.",50.631,-96.982
CXHF,"High Falls , Que.",45.833,-75.65
CXKT,"Kentville , N. S.",45.066,-64.483
CXLC,"Lower Carp Lake , N. W. T.",63.6,-113.866
CXLL,"Lindberg Landing , N. W. T.",61.116,-122.85
CXMD,"Morden CDA CS , Man.",49.183,-98.083
CXMI,"McNabs Island , N. S.",44.6,-63.533
CXMM,"Fort McMurray CS, Alta.",56.65,-111.216
CXMY,"Malay Falls , N. S.",44.983,-62.483
CXNM,"North Mountain , N. S.",46.816,-60.666
CXOX,"La Ronge , Sask.",55.15,-105.266
CXPV,"Prairie River, Alta",58.622,-111.672
CXQA,"Qavvik Lake, N. W. T.",68.257,-122.103
CXRH,"Rocky Harbour CS, Nfld.",49.566,-57.883
CXSH,"Shawinigan CS , Que.",46.583,-72.583
CXSR,"Spirit River Auto Station, Alta",55.695,-119.234
CXSW,"St. John's West CDA CS, Nfld.",47.515,-52.784
CXTN,"Tuktut Nogait , N. W. T.",69.183,-122.35
CXTP,"Terra Nova National Park CS, Nfld.",48.556,-53.974
CXTV,"Trail Valley , N. W. T.",68.75,-133.5
CXWN,"Winnipeg The Forks, Man.",49.883,-97.133
CXXX,"Cluff Lake , Sask.",58.383,-109.5
CXZU,"Whitecourt , Alta.",54.15,-115.783
CYAD,La Grande Iii Supplementary Aviation Weather Reporting Station,53.566,-76.2
CYAH,"La Grande Iv, Que.",53.75,-73.666
CYAJ,Komakuk Beach Airport,69.583,-140.183
CYAM,"Sault Ste Marie, Ont.",46.483,-84.5
CYAS,Kangirsuk Supplementary Aviation Weather Reporting Station,60.016,-70.0
CYAW,"Shearwater, N. S.",44.633,-63.5
